Track Name,Artist Name,Artist Popularity,Artist Genres,Album,Popularity,Track Features,Lyrics
Thinkin’ Bout Me,Morgan Wallen,87,contemporary country,One Thing At A Time,0.86,"{'danceability': 0.656, 'energy': 0.757, 'key': 3, 'loudness': -5.775, 'mode': 0, 'speechiness': 0.0308, 'acousticness': 0.492, 'instrumentalness': 0, 'liveness': 0.117, 'valence': 0.429, 'tempo': 139.971, 'type': 'audio_features', 'id': '0PAcdVzhPO4gq1Iym9ESnK', 'uri': 'spotify:track:0PAcdVzhPO4gq1Iym9ESnK', 'track_href': 'https://api.spotify.com/v1/tracks/0PAcdVzhPO4gq1Iym9ESnK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0PAcdVzhPO4gq1Iym9ESnK', 'duration_ms': 177388, 'time_signature': 4}","
 know  know 
 know nothin bout boy 
 feel bad feel bad 
 hell gon  puttin  
 Probably tell burnt flame 
 Probably tell ai mind 
 ai nothin long gone thing 
 cuss  baby  lie 

  
 tasting drinking  thinkin  bout  
 ridin  drivin   missin  street  
 time close eyes  tell   
 tastin  drinkin   thinkin  bout  
 Comin  tonight  wish truck drive 
 like know supposed 
 bed  head  
 Makin  crazy  tell  baby  thinkin  bout  
 thinkin  bout  thinkin  bout 
 tastin  drinkin   thinkin  bout  

  
 hide phone  change  
 wants  place 
 tell  way 
  damn ai 
 Morgan Wallen LiveGet tickets low  22You like 
 tastin  drinkin   thinkin  bout  
 ridin  drivin   missin  street  
 time close eyes  tell   
 tastin  drinkin   thinkin  bout  
 Comin  tonight  wish truck drive 
 like know supposed 
 bed  head  
 Makin  crazy  tell  baby  thinkin  bout  
 thinkin  bout  thinkin  bout 
 tastin  drinkin   thinkin  bout  

  
 know 
 girl  know oughta 

  
 tastin  drinkin   thinkin  bout  
 ridin  drivin   missing street  
 time close eyes  tell   
 tastin  drinkin   thinkin  bout  
 Comin  tonight  wish truck drive 
 like know supposed 
 bed  head  
 Makin  crazy  tell  baby  thinkin  bout  
 Yeah  thinkin  bout  
 thinkin  bout meEmbed"
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,100,pop,1989 (Taylor's Version),0.89,"{'danceability': 0.596, 'energy': 0.658, 'key': 0, 'loudness': -7.346, 'mode': 1, 'speechiness': 0.036, 'acousticness': 0.0504, 'instrumentalness': 0, 'liveness': 0.127, 'valence': 0.176, 'tempo': 100.012, 'type': 'audio_features', 'id': '1Iq8oo9XkmmvCQiGOfORiz', 'uri': 'spotify:track:1Iq8oo9XkmmvCQiGOfORiz', 'track_href': 'https://api.spotify.com/v1/tracks/1Iq8oo9XkmmvCQiGOfORiz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Iq8oo9XkmmvCQiGOfORiz', 'duration_ms': 229478, 'time_signature': 4}","
        

  
 flight flown  Uh  huh  
 wilt rose  Uh  huh  
 slept  Uh  huh  
 

  
 Let fast forward takeout coffees later 
 profile smile unsuspecting waiters 
 dream mouth called lying traitor 
 search maiden bed somethin greater  baby 

  
 laid couch  
 unbuttoned blouse  
  Come   whispered ear 
 dream passеd  baby 
   

  
      

  
 Whеn lost control  Uh  huh  
 Red blood  white snow  Uh  huh  
 Blue dress boat  Uh  huh  
 new girl clone 
 Taylor Swift LiveGet tickets low  359You like 
 think  
 flashin  lights 
 decency 
 nights sight 
 rumors bout hips thighs 
 whispered sighs 
 Oh  Lord  think jumpin  
 tall somethings 
 come runnin  
 thing wanting  

  
 Let fast forward awkward blind dates later  Oh  
 got blue eyes  surmise probably date  Oh   
 dream mouth called lying traitor  Oh  
 search model bed somethin greater  baby 

  
 laid couch  
 unbuttoned blouse  
  Come   whispered ear 
 dream passed  baby 
   
  
 Uh  huh 
      
 Uh  huh 
     
  
 Think  
 flashin  lights 
 decency 
 nights sight 
 rumors bout hips thighs 
 whispered sighs 
 Oh  Lord  think jumpin  
 tall somethings 
 come runnin   Runnin   
 thing wanting  

  
  Flashin  lights  Oh  Lord  Oh  
 Let fast forward takeout coffees later  Oh  
  Flashin  lights  hoping 
 thing  Oh  Lord  
 wanting  Oh  Lord  
 
       it5Embed"
don't wanna break up again,Ariana Grande,94,pop,eternal sunshine,0.65,"{'danceability': 0.714, 'energy': 0.734, 'key': 9, 'loudness': -5.103, 'mode': 0, 'speechiness': 0.131, 'acousticness': 0.422, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.55, 'tempo': 96.935, 'type': 'audio_features', 'id': '6syv8ApETVgccaCuXC8NnU', 'uri': 'spotify:track:6syv8ApETVgccaCuXC8NnU', 'track_href': 'https://api.spotify.com/v1/tracks/6syv8ApETVgccaCuXC8NnU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6syv8ApETVgccaCuXC8NnU', 'duration_ms': 174006, 'time_signature': 4}","
 Mm 

  
 fall asleep cryin  
 turn TV 
 wanna hear 
 sleepless night 
 Big day morning 
  time self  soothe 

  
 
 got ta 
 thing wanna 
     

  
 wanna fuck head 
 breakin  heart 
 breakin      
 situationship end 
 refuse 
 wanna break      baby 

  
 easy 
 Spent therapy 
 Blamed codependency 
 try 
 finally  wrong time 
 Wo abandon  
 like 
 
 got ta 
 thing wanna 
     

  
 wanna fuck head 
 breakin  heart  Breakin  heart  
 breakin      
 situationship end 
 refuse 
 wanna break     

  
 know time 
 goodbye 
 kiss goodbye 
 tears eyes 
 Hope wo  wo regret 
 Hope think fondly little life 

  
 wanna fuck head 
 breakin  heart  Breakin  heart  
 breakin      
 situationship end 
 refuse 
 wanna break      baby 
  
  Hah  hah  hah  
  Hah  hah  hah  
 wanna break  Breakin  heart  
 wanna  baby 
 Situationship end  Know end  
 refuse 
 Ooh1Embed"
Made For Me,Muni Long,72,"indie r&b, pop r&b",Made For Me,0.87,"{'danceability': 0.785, 'energy': 0.47, 'key': 7, 'loudness': -6.42, 'mode': 0, 'speechiness': 0.0329, 'acousticness': 0.137, 'instrumentalness': 1.12e-06, 'liveness': 0.131, 'valence': 0.0569, 'tempo': 120.006, 'type': 'audio_features', 'id': '0WIv5qV41y6YjjB9V1biuC', 'uri': 'spotify:track:0WIv5qV41y6YjjB9V1biuC', 'track_href': 'https://api.spotify.com/v1/tracks/0WIv5qV41y6YjjB9V1biuC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0WIv5qV41y6YjjB9V1biuC', 'duration_ms': 188000, 'time_signature': 4}","
 Mm 
 Oh 

  
 smell perfume 
 thought immune 
 Lookin  room 
 help traces 
 moment surreal 
 words feel 

  
 Twin 
  

  
 knows like   
 gon  love like   yeah  
 deny  time try 
 look eyes  know lyin   lyin  
 Body body  skin skin  gon  love like  
 gon  love like   yeah  
   
 Said   yeah  yeah  
 Think 
 Oh yeah  
 Muni Long LiveGet tickets low  220You like 
 ai day 
 feelings way 
 knew rare 
 Cause  care 
 know 
 

  
 Twin  mm 
 Mm   

  
 knows like   
 gon  love like   yeah  
 deny  time try 
 look eyes  know lyin   lyin  
 Body body  skin skin  gon  love like  
 gon  love like   yeah  
   
 Said   yeah  yeah  
 Think 
 Oh yeah  

  
 
 
 
  mmEmbed"
true story,Ariana Grande,94,pop,eternal sunshine,0.65,"{'danceability': 0.711, 'energy': 0.535, 'key': 9, 'loudness': -6.202, 'mode': 0, 'speechiness': 0.0859, 'acousticness': 0.459, 'instrumentalness': 5.67e-06, 'liveness': 0.312, 'valence': 0.371, 'tempo': 138.03, 'type': 'audio_features', 'id': '7KaJap4aDdiIXR4a7ug7ih', 'uri': 'spotify:track:7KaJap4aDdiIXR4a7ug7ih', 'track_href': 'https://api.spotify.com/v1/tracks/7KaJap4aDdiIXR4a7ug7ih', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7KaJap4aDdiIXR4a7ug7ih', 'duration_ms': 163278, 'time_signature': 4}","
 true story lies 
 fantasized  Fantasized  bout 
 true story games 
 know play 

  
  need  Gimme love  love  gimme love  
 want  Gimme love  love  gimme love  
 Ai gon na happen 
 Gimme love  love  gimme love  love  lo  love 
 Gimme love  gimme love  love 
 Love  love  lo  love 

  
 play villain need 
 know goes  yeah 
 pay play thе scene 
 Roll camеras  

  
 Turnin  like dime  Dime   wastin  time 
 Sneakin  like creep night 
 play need 
 Mm 
 like 
 true story lies 
 fantasized  Fantasized  bout 
 true story games 
 know play 

  
  need  Gimme love  love  gimme love  
 want  Gimme love  love  gimme love  
 Ai gon na happen 
 Gimme love  love  gimme love  love  lo  love 
 Gimme love  gimme love  love 
 Love  love  lo  love 

  
 play bad girl need 
 makes feel better 
 love hate  relate 
 plate 

  
 eyes  Eyes   got time 
 fun  like pray demise  mm 
 play need 
 good  
  
 true story lies 
 fantasized  Fantasized  bout 
 true story games 
 know play 

  
  need  Gimme love  love  gimme love  
 want  Gimme love  love  gimme love  
 Ai gon na happen 
 Gimme love  love  gimme love  love  lo  love  Ooh  
 Gimme love  gimme love  love  Gimme love  gimme love  
 Love  love  lo  love  want  
 Gimme love  love  gimme love  need  
 Gimme love  love  gimme love  Ai gon na happen  
 Gimme love  love  gimme love  love  lo  love  Gimme love  gimme love  
 Gimme love  gimme love  love 
 Love  love  lo  love  Mm6Embed"
Houdini,Dua Lipa,88,"dance pop, pop, uk pop",Houdini,0.92,"{'danceability': 0.744, 'energy': 0.789, 'key': 9, 'loudness': -4.876, 'mode': 0, 'speechiness': 0.059, 'acousticness': 0.0036, 'instrumentalness': 0.00144, 'liveness': 0.0947, 'valence': 0.866, 'tempo': 116.985, 'type': 'audio_features', 'id': '4OMJGnvZfDvsePyCwRGO7X', 'uri': 'spotify:track:4OMJGnvZfDvsePyCwRGO7X', 'track_href': 'https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X', 'duration_ms': 185918, 'time_signature': 4}","
 Okay 
 Mm  ah 

  
 come 
 Tell ways need 
 long 
 Catch Houdini 
 come 
 Prove got right 
 Everybody knows 
 Catch Houdini 

  
 Time passin  like solar eclipse 
 watchin  blow kiss 
 moment  baby  let slip 
 Come closer  readin  lips  

  
 come 
 Tell ways need 
 long 
 Catch Houdini 
 come 
 Prove got right 
 Everybody knows 
 Catch Houdini 
 Dua Lipa LiveGet tickets low  108You like 
 good  find way 
 Maybe cause girl change  ways  
 think night day  
 Maybe stay 

  
 soundin  sweet  Ah  ah  
 practise everythin  preach   Ah  ah  
 need believe  Ah  ah  
 got  baby  

  
 come 
 Tell ways need 
 long 
 Catch Houdini 
 come  come  
 Prove got right 
 Everybody knows  long  
 Catch Houdini 

  
 good  find way 
 Maybe cause girl change  ways  
 think night day  
 Maybe stay 
  
 Oh  oh 
 Ooh 

  
 come 
 Tell ways need  Ooh  
 long 
 Catch Houdini  Hahaha  
 come  come  
 Prove got right 
 Everybody knows  long  
 Catch Houdini 

  
 Houdini 
 Catch Houdini11Embed"
Paint The Town Red,Doja Cat,87,"dance pop, pop",Paint The Town Red,0.89,"{'danceability': 0.868, 'energy': 0.538, 'key': 5, 'loudness': -8.603, 'mode': 1, 'speechiness': 0.174, 'acousticness': 0.269, 'instrumentalness': 3.34e-06, 'liveness': 0.0901, 'valence': 0.732, 'tempo': 99.968, 'type': 'audio_features', 'id': '2IGMVunIBsBLtEQyoI1Mu7', 'uri': 'spotify:track:2IGMVunIBsBLtEQyoI1Mu7', 'track_href': 'https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7', 'duration_ms': 231750, 'time_signature': 4}","
 
 Walk 
 Walk 
 Walk 
 Walk 

  
 Yeah  bitch  said said 
 famous instead 
 let head 
 care  paint town red 
 Bitch  said said 
 famous instead 
 let head 
 care  paint town red 

  
 Mm  devil 
 bad lil  bitch  rebel 
 foot pedal 
 lot settle 
 Mm  devil 
 bad lil  bitch  rebel 
 foot pedal 
 lot settle  Yeah  yeah  
 Doja Cat LiveGet tickets low  87You like 
 Said happiness misery 
 good dick kidneys 
 Margiel  come jealousy 
 illness come remedy 
 fun Hennessy 
 want love energy 
 talk shit penalties 
 Bitch  yo  shit send 
 going glow time 
 Trust  magical foresight 
 gon  sleepin  courtside 
 gon  eatin  times 
 Ugh  bitch 
 Ugh  look better hair 
 Ugh  ai sign smoke 
 Ugh  gimme chance  Yeah  

  
 Yeah  bitch  said said 
 famous instead 
 let head 
 care  paint town red 
 Bitch  said said 
 famous instead 
 let head 
 care  paint town red 
  
 Mm  devil 
 bad lil  bitch  rebel 
 foot pedal 
 lot settle 
 Mm  devil 
 bad lil  bitch  rebel 
 foot pedal 
 lot settle  Yeah  yeah  

  
 Said pop money  try  bitch 
 use revamp new vibe  sis 
 need big feature new sidekick 
 need new fan cause boo like 
 need wear wig like 
  time bitch  ai knew win  
 Throw shot like tryna food fight 
 opps waitin   bet 
 Said got drive  need car 
 Money fiendin  
 doin things ai seen 
 Fans ai dumb  extremists 
 demon lord 
 Fall  ai seen horse 
 Called bluff  better cite source 
 Fame ai somethin need 
  
 Cause  bitch  said said 
 famous instead 
 let head 
 care  paint town red 
 Bitch  said said 
 famous instead 
 let head 
 care  paint town red 

  
 Mm  devil 
 bad lil  bitch  rebel 
 foot pedal 
 lot settle 
 Mm  devil 
 bad lil  bitch  rebel 
 foot pedal 
 lot settle 
  
 Walk 
 Walk 
 Walk 
 Walk 
 Walk by12Embed"
Feather,Sabrina Carpenter,81,pop,emails i can’t send fwd:,0.91,"{'danceability': 0.787, 'energy': 0.686, 'key': 6, 'loudness': -4.37, 'mode': 0, 'speechiness': 0.0339, 'acousticness': 0.0893, 'instrumentalness': 0, 'liveness': 0.0927, 'valence': 0.836, 'tempo': 123.51, 'type': 'audio_features', 'id': '2Zo1PcszsT9WQ0ANntJbID', 'uri': 'spotify:track:2Zo1PcszsT9WQ0ANntJbID', 'track_href': 'https://api.spotify.com/v1/tracks/2Zo1PcszsT9WQ0ANntJbID', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Zo1PcszsT9WQ0ANntJbID', 'duration_ms': 185553, 'time_signature': 4}","
              
             
 Oh  

  
 Oh  like  dream come true 
 platter 
 pull try plans 
 hours advance  mm 

  
 slam door  hit ignore 
 saying       
 got blocked   afterthought 
 finally cut 

  
 feel lighter like feather mind  Ah  
 Floatin  memories like  waste time  Ah  
 signals mixed  act like bitch 
 fit stereotype   Send pic  
 feel lighter like feather life 
 life 

  
              
             
 Like feather  like feather  like feather  yeah 
 Sabrina Carpenter LiveGet tickets low  100You like 
 feels good 
 carin  tonight 
 feels good 
 pretendin  like wine like 

  
 slam door  Slam door   hit ignore  Hit ignore  
 saying       
 got blocked  excited talk  
 sorry loss 

  
 feel lighter like feather mind  Ah  
 Floatin  memories like  waste time  Ah  
 signals mixed  act like bitch  bitch  
 fit stereotype   Send pic  
 feel lighter like feather life 
 life 

  
              
 Ah  mm 
             
 Like feather  like feather  like feather 
  
 want  
 miss  duh 
  
 want    
 miss  duh  duh  
    

  
 want  
  feel lighter like feather mind  
 miss  duh 
  
  Like feather  like feather  like feather  
 want  
  feel lighter like feather mind  
 miss  duh 
  
  Like feather  like feather  like feather  yeah7Embed"
Never Lose Me,Flo Milli,76,viral rap,Never Lose Me,0.9,"{'danceability': 0.781, 'energy': 0.567, 'key': 1, 'loudness': -7.857, 'mode': 1, 'speechiness': 0.0969, 'acousticness': 0.0504, 'instrumentalness': 0, 'liveness': 0.0981, 'valence': 0.0743, 'tempo': 121.964, 'type': 'audio_features', 'id': '6uTPdRrEDeH8Fyg5L5qmeU', 'uri': 'spotify:track:6uTPdRrEDeH8Fyg5L5qmeU', 'track_href': 'https://api.spotify.com/v1/tracks/6uTPdRrEDeH8Fyg5L5qmeU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6uTPdRrEDeH8Fyg5L5qmeU', 'duration_ms': 125902, 'time_signature': 4}","
 bitch like life 
 ai bitch like life  uh 
 bitch like life 
 ai bitch like life  Yeah  

  
 speed Wraith hand coochie  Yeah  
 touchin  Emilio Pucci  Uh  
 Doin good  bitch  gucci  good  
 Fly Asia  feedin  sushi  Ooh  
 fuckin   feel like movie 
 Raw bitch  ai groupie 
 Stiff ho  like nigga bougie  Yeah  
 Tell nevеr wanna lose 

  
 Tell mе wanna lose 
 Tell wanna lose 
 Tell wanna lose 
 Tell wanna lose 
 Tell wanna lose 
 Tell wanna lose  Lose  
 Tell  

  
 Haitian  love Zoe 
 thinkin  bout road 
 havin rich sex boat 
 hit like dope  Like dope  
 gon  prove treat right  
 stole heart like thief night 
 Yeah  man  type 
 try  ho  sight 
 totin  Uzi  actin  real bougie  Bougie  yeah  
 like fight dick  ho  hit  piece   piece  
 know need 
 Tell ai leavin    
 suck  look eyes  Yeah  
 better fuck like mean  Fuck like mean  
 like 
 Tell wanna lose 
 Tell wanna lose 
 Tell wanna lose 
 Tell wanna lose 
 Tell wanna lose 
 Tell wanna lose  Lose  
 Tell  

  
 speed Wraith hand coochie 
 Doin good  bitch  gucci 
 fuckin   feel like movie 
 stiff ho  like nigga bougie  Yeah  
 Tell wanna lose meEmbed"
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,88,"art pop, pop","What Was I Made For? [From The Motion Picture ""Barbie""]",0.92,"{'danceability': 0.444, 'energy': 0.0911, 'key': 0, 'loudness': -17.665, 'mode': 1, 'speechiness': 0.0307, 'acousticness': 0.959, 'instrumentalness': 1.05e-06, 'liveness': 0.098, 'valence': 0.142, 'tempo': 78.403, 'type': 'audio_features', 'id': '6wf7Yu7cxBSPrRlWeSeK0Q', 'uri': 'spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q', 'track_href': 'https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q', 'duration_ms': 222370, 'time_signature': 4}","

   Worship  
 Jon Batiste 
   Strong  
 boygenius 
   Flowers  
 Miley Cyrus 
      
 Billie Eilish 
   Mama  
 Victoria Monét 
   Vampire  
 Olivia Rodrigo 
   Anti  Hero  
 Taylor Swift 
   Kill Bill  
 SZAAlbum YearAward Artists  Featured Artists   Songwriters  new material  Producers   Recording Engineers   Mixers  Mastering Engineers  credited 20  playing time album  

  World Music Radio 
 Jon Batistе 
  record 
 boygenius 
  Endlеss Summer Vacation 
 Miley Cyrus 
  Know Tunnel Ocean Blvd 
 Lana Del Rey 
  Age Pleasure 
 Janelle Monáe 
  GUTS 
 Olivia Rodrigo 
  Midnights 
 Taylor Swift 
  SOS 
 SZASong YearA Songwriters  Award  song eligible released achieved prominence Eligibility Year   Artist names appear parentheses   Singles Tracks  
   AW  
 Jack Antonoff  Lana Del Rey  Sam Dew 
   Anti  Hero  
 Jack Antonoff  Taylor Swift 
   Butterfly  
 Jon Batiste  Dan Wilson 
   Dance Night   Barbie Album  
 Caroline Ailin  Dua Lipa  Mark Ronson  Andrew Wyatt 
   Flowers  
 Miley Cyrus  Gregory Aldae Hein  Michael Pollack 
   Kill Bill  
 Rob Bisel  Carter Lang  Solána Rowe 
   Vampire  
 Daniel Nigro  Olivia Rodrigo 
      
 Billie Eilish OConnell  Finneas OConnellBest New ArtistThis category recognizes artist eligibility  year releases  achieved breakthrough public consciousness notably impacted musical landscape  

  Gracie Abrams 
  Fred  
  Ice Spice 
  Jelly Roll 
  Coco Jones 
  Noah Kahan 
  Victoria Monét 
  War TreatyProducer Year  Non  ClassicalA Producer Award   Artists names appear parentheses   
  Jack Antonoff 
  Dernst  DMile  Emile II 
  Hit  Boy 
  Metro Boomin 
  Daniel NigroSongwriter Year  Non  ClassicalA Songwriter Award   Artists names appear parentheses   

  Edgar Barrera 
  Jessie Jo Dillon 
  Shane McAnally 
  Theron Thomas 
  Justin TranterField 1  Pop  Dance  Electronic MusicBest Pop Solo PerformanceFor new vocal instrumental pop recordings  Singles Tracks  

   Flowers  
 Miley Cyrus 
   Paint Town Red  
 Doja Cat 
      
 Billie Eilish 
   Vampire  
 Olivia Rodrigo 
   Anti  Hero  
 Taylor SwiftBest Pop Duo  Group PerformanceFor new vocal instrumental duo  group collaborative pop recordings  Singles Tracks  

   Thousand Miles  
 Miley Cyrus ft  Brandi Carlile 
   Candy Necklace  
 Lana Del Rey ft  Jon Batiste 
   Felt  
 Labrinth ft  Billie Eilish 
   Karma  
 Taylor Swift ft  Ice Spice 
   Ghost Machine  
 SZA ft  Phoebe BridgersBest Pop Vocal AlbumFor albums containing greater 75  playing time new pop vocal recordings  
  Chemistry 
 Kelly Clarkson 
  Endless Summer Vacation 
 Miley Cyrus 
  GUTS 
 Olivia Rodrigo 
    Subtract  
 Ed Sheeran 
  Midnights 
 Taylor SwiftBest Dance  Electronic RecordingFor solo  duo  group collaborative performances  Vocal Instrumental  Singles tracks  

   Blackbox Life Recorder 21F  
 Aphex Twin 
   Loading  
 James Blake 
   Higher  
 Disclosure 
   Strong  
 Romy  Fred  
   Rumble  
 Skrillex  Fred   FlowdanBest Pop Dance RecordingFor solo  duo  group collaborative performances  Vocal Instrumental  Singles tracks  

   Baby Hurt  
 David Guetta  Anne  Marie  Coi Leray 
   Miracle  
 Calvin Harris ft  Ellie Goulding 
   Padam Padam  
 Kylie Minogue 
   Million  
 Bebe Rexha  David Guetta 
   Rush  
 Troye SivanBest Dance  Electronic Music AlbumFor vocal instrumental albums  Albums  

  Playing Robots Heaven 
 James Blake 
  Beautiful Feeling 
 Chemical Brothers 
  Actual Life 3  January 1  September 9 2022  
 Fred  
  Kx5 
 Kx5 
  Quest Fire 
 SkrillexEmbed"
TRUCK BED,HARDY,74,"contemporary country, modern country pop",TRUCK BED,0.7,"{'danceability': 0.662, 'energy': 0.77, 'key': 0, 'loudness': -4.887, 'mode': 1, 'speechiness': 0.0367, 'acousticness': 0.0875, 'instrumentalness': 0, 'liveness': 0.35, 'valence': 0.769, 'tempo': 132.057, 'type': 'audio_features', 'id': '73NzYbpaYvQ7JfpjztFESL', 'uri': 'spotify:track:73NzYbpaYvQ7JfpjztFESL', 'track_href': 'https://api.spotify.com/v1/tracks/73NzYbpaYvQ7JfpjztFESL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/73NzYbpaYvQ7JfpjztFESL', 'duration_ms': 167535, 'time_signature': 4}","
 woke wrong truck bed morning 
 bone  dry bottle Jack pouring 
 Damn  got nerve way kicked curb 
 Guess got deserve 
 Cause woke wrong truck bed morning 
  Yeah  

  
 said   come home bar  
 said   Okay  baby  got drunk yard 
 2 knock knock knocked door 
 unlock  locked  guess live 

  
 Yeah  meant business time 
 believe bloodshot eyes 

  
 woke wrong truck bed morning 
 bone  dry bottle Jack pouring 
 Damn  got nerve way kicked curb 
 Guess got deserve 
 Cause woke wrong truck bed morning 
  Yeah  
 like 
 bag corn rest head 
 camo jacket blanket passed like dead 

  
 got heck buzz 
 look train wreck 

  
 woke wrong truck bed morning 
 bone  dry bottle Jack pouring 
 Damn  got nerve way kicked curb 
 Guess got deserve 
 Cause woke wrong truck bed morning  yeah 
 woke wrong truck bed morning  yes 

  
 believe got ta work 
 fuckin  bird catch 45 
 Oh  guess goodbye  Ha  
 took boots time  uh 

  
 woke wrong truck bed morning 
 bone  dry bottle Jack pouring 
 Damn  got nerve way kicked curb 
 Guess got deserve 
 woke wrong truck bed morning 
 bone  dry bottle Jack pouring 
 Damn  got nerve way kicked curb 
 Guess got deserveEmbed"
imperfect for you,Ariana Grande,94,pop,eternal sunshine,0.64,"{'danceability': 0.639, 'energy': 0.402, 'key': 4, 'loudness': -7.526, 'mode': 1, 'speechiness': 0.03, 'acousticness': 0.503, 'instrumentalness': 0, 'liveness': 0.437, 'valence': 0.197, 'tempo': 150.084, 'type': 'audio_features', 'id': '0Lehq9U25OZsOaJU5om2ox', 'uri': 'spotify:track:0Lehq9U25OZsOaJU5om2ox', 'track_href': 'https://api.spotify.com/v1/tracks/0Lehq9U25OZsOaJU5om2ox', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0Lehq9U25OZsOaJU5om2ox', 'duration_ms': 182567, 'time_signature': 3}","
 boy  come hand 
 Throw guitar clothes seat 
 love  understand 
 hold hurt box 

  
 know 
 rearrange cosmos  Mm 
 crashed  burned 
 
 usually  

  
 Fucked  anxious  
 love like need 
 Imperfect 
 Messy  completely distressed 
 like met 
 Imperfect 

  
 Let tonight 
  Causе sеconds left  til tomorrow 
 need 
 Let leave baggage wine table  Mm   mm 
 like 
 know 
 happy disaster   Happy disaster  Mm  Mm  
 glad crashed burned  crashed burned  
 forget told 
 said   Usually   

  
  Fucked  anxious  
 love like need 
 Imperfect 
 Messy  completely distressed 
 like met  

  
 Mm  know 
 bad stuff delightful  Mm 
 glad crashed burned 
 know 
 feeling 

  
 Fucked  anxious  
 love like need 
 Imperfect 
 Messy  completely distressed 
 like met 
 Imperfect 
  
 Fucked  anxious  
 Like need  Like need  
 Imperfect 
 Messy  completely distressed 
 like met 
 Imperfect you5Embed"
intro (end of the world),Ariana Grande,94,pop,eternal sunshine,0.65,"{'danceability': 0.569, 'energy': 0.367, 'key': 10, 'loudness': -9.644, 'mode': 1, 'speechiness': 0.0437, 'acousticness': 0.668, 'instrumentalness': 0, 'liveness': 0.159, 'valence': 0.398, 'tempo': 84.984, 'type': 'audio_features', 'id': '1WY6fZHFmq7eHS0pzDKSZe', 'uri': 'spotify:track:1WY6fZHFmq7eHS0pzDKSZe', 'track_href': 'https://api.spotify.com/v1/tracks/1WY6fZHFmq7eHS0pzDKSZe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1WY6fZHFmq7eHS0pzDKSZe', 'duration_ms': 92400, 'time_signature': 4}","
 Uh 

  
 tell right relationship  
 sposed know shit  
 Feel bones shit  know 
 interaction thinkin  bout like weeks 
 Wonder thinkin  bout smiling 
 Wonder knows inspirin  
 Wonder judgin  like right 

  
 care 
 tell truth  Truth  
 worse  mm   

  
 sun refused shine 
 Baby  lover  
 want  
 moon went dark tonight 
 ended tomorrow 
 mind  mind  mind  
 ended tomorrow 
 mineYou like2Embed"
i wish i hated you,Ariana Grande,94,pop,eternal sunshine,0.65,"{'danceability': 0.597, 'energy': 0.247, 'key': 7, 'loudness': -9.105, 'mode': 1, 'speechiness': 0.0324, 'acousticness': 0.847, 'instrumentalness': 0, 'liveness': 0.0982, 'valence': 0.27, 'tempo': 65.554, 'type': 'audio_features', 'id': '6ktoQBpMjWdKbfOdHeudpE', 'uri': 'spotify:track:6ktoQBpMjWdKbfOdHeudpE', 'track_href': 'https://api.spotify.com/v1/tracks/6ktoQBpMjWdKbfOdHeudpE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6ktoQBpMjWdKbfOdHeudpE', 'duration_ms': 153633, 'time_signature': 4}","
 Hung clothes closet 
 shoes boxes  send way 
 Hoping life brings new pain 

  
 rearrange memories 
 try rewrite life 

  
 matter try  Mm  
 matter want  Mm  
 matter easy things 
 matter guilty feel saying 
 wish hated 
 wish true 
 Wish worse 
 wish worse 
 Yeah  wish hated 

  
 shadows dance parallel plane 
 different endings  learn repair 
 learn place 

  
 close  close  far  far  
 known start 
 like 
 matter try  Mm  
 matter want  Mm  
 matter easy things 
 matter guilty feel saying 
 wish hated 
 wish true 
 Wish worse 
 wish worse 
 Yeah  wish hated you2Embed"
